simTrack 0.001181 -0.001041 0.001408 -0.604542 0.800468 -0.245892 1 pt=1.003106 trkIdx=1 algo=4
simHit -2.422770 3.368635 -1.016449 4.149400 -0.242577 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -4.277575 6.190732 -1.847198 7.524813 -0.243080 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -5.525686 8.239654 -2.441318 9.920942 -0.243659 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -11.597158 20.653410 -5.833738 23.686651 -0.243864 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -15.290780 32.304657 -8.827953 35.740717 -0.244555 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -16.826509 40.146175 -10.754732 43.529838 -0.244619 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -17.454309 45.493050 -12.048618 48.726486 -0.244818 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit -17.706964 55.697117 -14.577881 58.444037 -0.246917 0.022250 0.000056 0.000000 0.000000 0.000000 0.000000
simHit -16.752525 65.918106 -17.099520 68.013556 -0.248837 0.011500 0.000024 0.000000 0.000000 0.000000 0.000000
simHit -13.771823 78.731285 -20.322851 79.926706 -0.251606 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit -11.940803 84.033546 -21.702892 84.877675 -0.252989 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit -6.800406 95.021698 -24.705772 95.264729 -0.256516 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit 0.483283 106.084190 -28.001255 106.085291 -0.260978 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.001181 -0.001041 0.001408 0.604542 -0.800468 0.245892 -1 pt=1.003106 trkIdx=0 algo=4
simHit 2.573189 -3.242411 1.016993 4.139387 0.243280 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit 4.799778 -5.811495 1.850367 7.537330 0.243092 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 6.755428 -7.909374 2.550827 10.401635 0.242839 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 19.525633 -18.866926 6.553627 27.151634 0.239087 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit 24.299334 -21.990391 7.944099 32.772472 0.240088 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit 34.404701 -27.246006 10.784040 43.886539 0.243317 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit 41.741035 -30.075232 12.799854 51.447387 0.246297 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit 50.109333 -32.391258 15.022064 59.666899 0.249179 0.022250 0.000056 0.000000 0.000000 0.000000 0.000000
simHit 57.767910 -33.745399 16.983219 66.902043 0.251202 0.011500 0.000024 0.000000 0.000000 0.000000 0.000000
simHit 67.814529 -34.472149 19.536879 76.073251 0.254074 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit 78.512024 -33.948532 22.268003 85.537365 0.257476 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
