simTrack 0.031527 0.001693 0.146334 4.418970 -8.967553 4.920586 -1 pt=9.997215 trkIdx=0 algo=13
simHit 43.592556 62.403912 -12.306904 76.122002 -0.160977 0.015449 0.000034 0.000000 0.000000 0.000000 0.000000
simHit 50.279198 73.105362 -13.802773 88.726499 -0.154945 0.014879 0.000033 0.000000 0.000000 0.000000 0.000000
simHit 55.009102 80.887703 -14.880592 97.820355 -0.151541 0.014862 0.000033 0.000000 0.000000 0.000000 0.000000
simHit 61.194885 91.353386 -16.320995 109.955696 -0.147893 0.014789 0.000033 0.000000 0.000000 0.000000 0.000000
simTrack 0.032259 -0.000374 3.124737 5.851442 -8.111662 -3.777067 1 pt=10.001922 trkIdx=1 algo=13
simHit 2.439608 -3.354467 1.565627 4.147786 0.369028 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit 4.395700 -6.105040 0.290595 7.522878 0.038619 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 5.780624 -8.065875 -0.616100 9.923404 -0.062046 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 14.003995 -19.949245 -6.057054 24.373844 -0.246017 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit 20.352236 -29.397526 -10.343790 35.755112 -0.285405 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit 24.408115 -35.553608 -13.075708 43.125574 -0.298738 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit 26.989908 -39.531036 -14.839439 47.866042 -0.305257 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit 34.947159 -52.114410 -20.414886 62.747236 -0.319869 0.034228 0.000077 0.000000 0.000000 0.000000 0.000000
simHit 37.109684 -55.621597 -21.952141 66.864720 -0.322678 0.024696 0.000049 0.000000 0.000000 0.000000 0.000000
simHit 42.269901 -64.155518 -25.675926 76.828868 -0.328269 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit 46.382332 -71.113869 -28.699429 84.902904 -0.331899 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit 51.548248 -80.066422 -32.562794 95.225279 -0.335619 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit 57.188828 -90.115959 -36.878586 106.730727 -0.338999 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.032259 -0.000374 3.124737 -5.851442 8.111662 3.777067 -1 pt=10.001922 trkIdx=0 algo=4
simHit -2.414986 3.375159 4.699177 4.150163 0.971892 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -4.406505 6.097065 5.972633 7.522732 0.727933 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
