simTrack 0.001181 -0.001041 0.001408 -6.028579 7.982378 -2.452069 1 pt=10.003106 trkIdx=1 algo=4
simHit 10.012809 -84.288704 7.058509 84.881340 0.083062 0.014879 0.000033 0.000000 0.000000 0.000000 0.000000
simHit 10.852077 -97.830627 8.186775 98.430682 0.083077 0.014862 0.000033 0.000000 0.000000 0.000000 0.000000
simHit 11.232353 -105.559402 8.829132 106.155326 0.083076 0.014789 0.000033 0.000000 0.000000 0.000000 0.000000
simTrack -0.000213 -0.000862 -0.001340 -9.818173 1.872682 5.966375 1 pt=9.995173 trkIdx=1 algo=4
simHit -4.063445 0.784063 2.468937 4.138398 0.565901 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -7.411236 1.446391 4.507269 7.551057 0.566170 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -10.201614 2.009166 6.207756 10.397581 0.566284 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -23.682508 4.860710 14.371346 24.176181 0.564053 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -31.227224 6.552654 18.978111 31.907316 0.564351 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -42.510433 9.213107 25.909180 43.497336 0.565091 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -47.381035 10.411917 28.916273 48.511550 0.565452 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit -61.161312 13.971487 37.484322 62.736820 0.566667 0.034228 0.000077 0.000000 0.000000 0.000000 0.000000
simHit -65.126167 15.042109 39.940815 66.840727 0.566725 0.024696 0.000049 0.000000 0.000000 0.000000 0.000000
simHit -77.735275 18.584599 47.770271 79.925968 0.566836 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit -85.654640 20.915171 52.704647 88.171207 0.566898 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit -94.857475 23.726341 58.456024 97.779752 0.566966 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit -103.418701 26.443419 63.823620 106.745876 0.567025 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack -0.001484 -0.000848 -0.005772 7.375803 6.738579 -1.977652 1 pt=9.990541 trkIdx=1 algo=4
simHit 3.444874 3.131206 -0.927670 4.655277 -0.197977 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit 5.574841 5.051035 -1.497391 7.522753 -0.197757 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 7.727582 6.978765 -2.071722 10.412429 -0.197676 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 17.559311 15.624004 -4.657084 23.504019 -0.196866 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit 26.703201 23.433348 -7.049224 35.527211 -0.197138 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit 30.054125 26.244595 -7.897968 39.900240 -0.196673 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit 39.046516 33.645798 -10.195286 51.542896 -0.196534 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit 44.426620 37.979057 -11.589700 58.447698 -0.197015 0.022250 0.000056 0.000000 0.000000 0.000000 0.000000
simHit 54.395359 45.829617 -14.106362 71.128116 -0.197046 0.011500 0.000024 0.000000 0.000000 0.000000 0.000000
simHit 58.317200 48.851299 -15.087444 76.074603 -0.197047 0.015449 0.000034 0.000000 0.000000 0.000000 0.000000
simHit 65.902237 54.600285 -16.975964 85.582100 -0.197081 0.014879 0.000033 0.000000 0.000000 0.000000 0.000000
simHit 73.702042 60.377506 -18.899395 95.275570 -0.197087 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit 82.492760 66.730202 -21.047127 106.103606 -0.197086 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack -0.001484 -0.000848 -0.005772 -7.375803 -6.738579 1.977652 -1 pt=9.990541 trkIdx=0 algo=4
simHit -3.426610 -3.146571 0.914825 4.652157 0.195399 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -5.533118 -5.097315 1.483551 7.523165 0.195942 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -7.308990 -6.751651 1.963911 9.950182 0.196115 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -19.584425 -18.434351 5.229520 26.895632 0.193233 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -23.689486 -22.462179 6.371928 32.645692 0.193966 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -31.272108 -30.016840 8.498567 43.346919 0.194824 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -36.709911 -35.551964 10.077152 51.103422 0.195935 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit -42.649635 -41.717052 11.815121 59.659902 0.196769 0.022250 0.000056 0.000000 0.000000 0.000000 0.000000
simHit -47.635063 -46.983158 13.253613 66.906774 0.196818 0.011500 0.000024 0.000000 0.000000 0.000000 0.000000
simHit -54.333035 -54.206257 15.210329 76.748921 0.196908 0.015449 0.000034 0.000000 0.000000 0.000000 0.000000
simHit -61.968208 -62.641182 17.470272 88.113430 0.196994 0.014879 0.000033 0.000000 0.000000 0.000000 0.000000
simHit -66.272980 -67.493217 18.756077 94.590921 0.197009 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit -74.246933 -76.678276 21.169556 106.734086 0.197061 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.000292 0.000819 -0.000417 10.002917 -0.024050 -5.009224 1 pt=10.002947 trkIdx=1 algo=4
simHit 4.198391 -0.019235 -2.102714 4.198435 -0.481957 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit 7.091933 -0.045730 -3.552555 7.092081 -0.482033 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 9.942394 -0.081744 -4.981987 9.942730 -0.482167 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
