simTrack 0.029225 0.001571 2.869650 -0.621749 -0.781877 0.113876 1 pt=0.998951 trkIdx=0 algo=4
simHit 73.988297 28.524969 -48.407375 79.296544 -0.577774 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit 83.923798 26.864634 -54.485546 88.118740 -0.584470 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit 95.623940 23.317226 -61.919182 98.425763 -0.593613 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit 81.786102 -56.129440 -155.691879 99.194156 -1.232743 0.053689 0.000121 0.000000 0.000000 0.000000 0.000000
simHit 104.280708 19.442739 -67.696335 106.077737 -0.601284 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.030176 -0.000953 0.555552 -0.672627 -0.748786 0.606358 -1 pt=1.006532 trkIdx=0 algo=4
simHit -2.973542 -3.526697 3.346113 4.612976 0.673326 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit -4.485600 -5.453402 4.826420 7.061175 0.639109 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -6.199530 -7.780953 6.575228 9.948739 0.620349 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit -13.234176 -19.420645 14.664223 23.501167 0.589277 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit -16.806225 -27.419891 19.901127 32.160529 0.584884 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit -20.199209 -38.085178 26.548275 43.110194 0.582346 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit -21.355789 -43.537426 29.877232 48.493063 0.582593 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit -22.541637 -53.954632 36.186378 58.474163 0.584916 0.034228 0.000077 0.000000 0.000000 0.000000 0.000000
simHit -22.211651 -66.463516 43.662487 70.076789 0.588503 0.024696 0.000049 0.000000 0.000000 0.000000 0.000000
simHit -21.086981 -73.782509 48.162102 76.736689 0.592371 0.038181 0.000076 0.000000 0.000000 0.000000 0.000000
simHit -17.293745 -87.031532 56.551617 88.733090 0.600564 0.034227 0.000068 0.000000 0.000000 0.000000 0.000000
simHit 56.919785 -75.050117 169.682114 94.193323 1.351132 0.047124 0.000107 0.000000 0.000000 0.000000 0.000000
simHit -14.605851 -93.483009 60.823334 94.617144 0.605208 0.034710 0.000070 0.000000 0.000000 0.000000 0.000000
simHit -6.981963 -106.572540 70.065460 106.801003 0.616279 0.036260 0.000075 0.000000 0.000000 0.000000 0.000000
simTrack 0.032125 -0.000192 2.284818 0.399050 -0.912337 -0.448653 -1 pt=0.995791 trkIdx=0 algo=4
simHit 1.993755 -4.183360 0.202884 4.634173 0.043766 0.025700 0.000054 0.000000 0.000000 0.000000 0.000000
simHit 3.105406 -6.332822 -0.888773 7.053239 -0.125678 0.019783 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 4.733051 -9.255877 -2.401486 10.395818 -0.228998 0.020470 0.000037 0.000000 0.000000 0.000000 0.000000
simHit 14.666004 -23.024475 -10.100170 27.298684 -0.362027 0.024966 0.000057 0.000000 0.000000 0.000000 0.000000
simHit 17.922977 -26.517225 -12.275908 32.006192 -0.374717 0.023100 0.000048 0.000000 0.000000 0.000000 0.000000
simHit 26.806452 -34.370598 -17.676428 43.588116 -0.395168 0.040442 0.000085 0.000000 0.000000 0.000000 0.000000
simHit 30.530613 -37.094524 -19.773613 48.042919 -0.400768 0.035682 0.000075 0.000000 0.000000 0.000000 0.000000
simHit 40.893986 -43.257862 -25.293396 59.527815 -0.413054 0.034228 0.000077 0.000000 0.000000 0.000000 0.000000
simHit 48.052807 -46.481464 -28.865513 66.855058 -0.419362 0.024696 0.000049 0.000000 0.000000 0.000000 0.000000
